ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_ID
26A-ind,ind,26A,2,26A-2,,Danusugondo-1975[passim];Echols-and-Shadily-1990[passim];Macdonald-1976[passim];Mintz-1994[passim];Sneddon-1996a[passim],
27A-ind,ind,27A,2,27A-2,,Sneddon-1996b,
28A-ind,ind,28A,1,28A-1,,Teselkin-and-Alieva-1960,
29A-ind,ind,29A,1,29A-1,,Teselkin-and-Alieva-1960,
26A-iri,iri,26A,4,26A-4,,Bammesberger-1982[passim];Dillon-and-O-Croinin-1961[passim];McCloskey-1979[passim];Stenson-1981[passim];O-Dochartaigh-1992[passim];O-Siadhail-1989[passim],
27A-iri,iri,27A,3,27A-3,,McCloskey-2001,
28A-iri,iri,28A,3,28A-3,,Bammesberger-1982,
29A-iri,iri,29A,2,29A-2,,Bammesberger-1982,
26A-ita,ita,26A,2,26A-2,,Maiden-and-Robustelli-2000[passim];Sauer-1891[passim];Vincent-1988[passim],
27A-ita,ita,27A,3,27A-3,,Repetti-2001,
26A-jng,jng,26A,1,26A-1,,Hertz-1917[passim],
20A-jpn,jpn,20A,1,20A-1,,Hinds-1986;Kuno-1973;Shibatani-1990,
21A-jpn,jpn,21A,1,21A-1,,Hinds-1986;Kuno-1973;Shibatani-1990,
21B-jpn,jpn,21B,1,21B-1,,Kuno-1973;Hinds-1986;Shibatani-1990,
22A-jpn,jpn,22A,3,22A-3,,Hinds-1986;Shibatani-1990,
23A-jpn,jpn,23A,2,23A-2,,Hinds-1986;Shibatani-1990,
24A-jpn,jpn,24A,2,24A-2,,Hinds-1986;Shibatani-1990,
25A-jpn,jpn,25A,2,25A-2,,Hinds-1986;Shibatani-1990,
25B-jpn,jpn,25B,2,25B-2,,Hinds-1986;Shibatani-1990,
26A-jpn,jpn,26A,2,26A-2,,Hinds-1986[passim];Kim-1991[passim];Shibatani-1990[passim],
27A-jpn,jpn,27A,2,27A-2,,Vance-2001,
28A-jpn,jpn,28A,1,28A-1,,Hinds-1986,
29A-jpn,jpn,29A,1,29A-1,,Hinds-1986,
