lang,iso_code,wals_code,script,variety,name,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,family,genus,train_frac_estimate,ttr_flores,d_syn,h_dep_avg,h_codep_avg
bjn_Arab,bjn,,Arab,banj1239,Banjar (Jawi script),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,1.1292580453825333e-06,0.3931391518067249,0.57,,
bjn_Latn,bjn,,Latn,banj1239,Banjar (Latin script),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0005795998516985,0.2861463678098839,0.57,,
bod_Tibt,bod,tib,Tibt,utsa1239,Lhasa Tibetan,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,Sino-Tibetan,Bodic,0.000148254459232,0.979187314172448,0.78,,
bos_Latn,bos,bos,Latn,bosn1245,Bosnian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Slavic,0.014832167497575,0.4025703730683178,0.61,,
brx_Deva,brx,bod,Deva,bodo1269,Bodo,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Sino-Tibetan,Brahmaputran,0.0,0.4345291479820627,0.71,,
bug_Latn,bug,bug,Latn,bugi1244,Buginese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austronesian,South Sulawesi,0.0003632762776043,0.3795582139671546,0.71,,
bul_Cyrl,bul,bul,Cyrl,bulg1262,Bulgarian,,,,,,,,,2.0,,,,0.3551605,0.003757081946,1.430487855,0.00425175335,0.46335577,0.006329397945,10.54129902,0.02365964578,9.801146364,0.02500446459,9.6,0.4898979486,3.7559373,0.5933548429,-0.3490676305,0.0,Indo-European,Slavic,0.0,0.355772584583188,0.48,0.47412200412743993,0.6810344227417745
cat_Latn,cat,ctl,Latn,stan1289,Catalan,,,,,,,,,,3.0,,,0.2578375,0.003072217237,1.252523247,0.004876422929,0.4262502014,0.007666236009,9.447236817,0.02342034076,8.749057703,0.02735313086,6.0,0.0,3.552881864,0.3368584395,-0.517017017,0.0,Indo-European,Romance,0.0,0.2444398426175191,0.53,0.39135976554603147,0.62481517904437
ceb_Latn,ceb,ceb,Latn,cebu1242,Cebuano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austronesian,Greater Central Philippine,0.0039583785804676,0.2263492964599975,0.8,,
ces_Latn,ces,cze,Latn,czec1258,Czech,,,,,,,,,3.0,,,,0.4080221666666666,0.0039698737363333,1.509301801,0.0039508696403333,0.4116308982333334,0.0054561767609999,11.21911277,0.0224706643566666,10.207946061666666,0.0276421296333333,11.4,0.5199633111,3.9536920283333337,0.7763187696,-0.3273692854333333,0.0,Indo-European,Slavic,0.0,0.4375929905769549,0.66,0.5675276288157657,0.8729961845050049
chv_Cyrl,chv,chv,Cyrl,chuv1255,Chuvash,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Altaic,Turkic,0.0005324427067502,0.4390787518573551,0.75,,
cjk_Latn,cjk,,Latn,chok1245,Chokwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0006982831764665,0.3808669809387169,0.57,,
ckb_Arab,ckb,krd,Arab,cent1972,Central Kurdish,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,Indo-European,Iranian,0.0020253227544673,0.4093196351818849,0.92,,
cmn_Hans,cmn,mnd,Hans,beij1234,Mandarin Chinese (Standard Beijing),7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.3006155,0.003523320132,1.000835208,0.0001153559631,0.5520700313,0.008997585952,10.78694394,0.02728879498,10.77949026,0.0235474244,1.0,0.0,2.741359573,0.1482558246,-0.998998999,0.0,Sino-Tibetan,Chinese,0.0,0.9478991596638656,0.55,,
