lang,iso_code,wals_code,script,variety,name,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,family,genus,train_frac_estimate,ttr_flores,d_syn,h_dep_avg,h_codep_avg
kor_Hang,kor,kor,Hang,kore1280,Korean,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5807387500000001,0.005538113876,0.995823606,0.00067443091565,0.222727112,0.0030324731495,12.760775425,0.02299842258,12.77096616,0.0219841214,0.0,0.0,1.218765428,1.2187962495,-0.8032718347,0.0,Korean,Korean,0.0,0.5933598937583001,0.62,0.08442871510093952,0.232509952140781
ktu_Latn,ktu,ktb,Latn,kitu1246,Kituba (DRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,Creoles and Pidgins,0.0,0.1477100864776825,0.57,,
lao_Laoo,lao,lao,Laoo,laoo1244,Lao,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Tai-Kadai,Kam-Tai,0.0014295106739919,0.7758438818565401,0.59,,
lij_Latn,lij,itg,Latn,geno1240,Ligurian (Genoese),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Romance,0.0002416158179893,0.24396,0.57,,
lim_Latn,lim,,Latn,limb1263,Limburgish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0008172814097836,0.3082054703135423,0.57,,
lin_Latn,lin,lin,Latn,ling1263,Lingala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.001741857650797,0.1568102756221568,0.67,,
lit_Latn,lit,lit,Latn,lith1251,Lithuanian,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Indo-European,Baltic,0.0,0.4805557240793545,0.68,0.45913755734683076,0.9625510362507195
lmo_Latn,lmo,,Latn,lomb1257,Lombard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0016327475823895,0.2795558716611348,0.57,,
ltg_Latn,ltg,,Latn,east2282,Latgalian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,7.180224903995096e-05,0.4431455897980871,0.57,,
ltz_Latn,ltz,lux,Latn,luxe1241,Luxembourgish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Germanic,0.003066716573709,0.2875361494334613,0.72,,
lua_Latn,lua,cil,Latn,luba1249,Luba-Kasai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0014980887117032,0.2601686278143241,0.57,,
lug_Latn,lug,lda,Latn,gand1255,Ganda,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0026269703985187,0.4856547619047619,0.78,,
luo_Latn,luo,luo,Latn,luok1236,Luo,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Western Nilotic,0.0021409594712226,0.2200707979698895,0.63,,
lus_Latn,lus,miz,Latn,lush1249,Mizo,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Sino-Tibetan,Kuki-Chin,0.0013351374868971,0.1779913322027511,0.76,,
lvs_Latn,lvs,,Latn,stan1325,Standard Latvian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.4427940586109996,0.57,,
mag_Deva,mag,mgh,Deva,maga1260,Magahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0012589498582364,0.226657645466847,0.89,,
mai_Deva,mai,mai,Deva,mait1250,Maithili,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0022492172625263,0.2415696420871065,0.63,,
mal_Mlym,mal,mym,Mlym,mala1464,Malayalam,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,Dravidian,Dravidian,0.0187709187234896,0.6043216436415161,0.77,,
mar_Deva,mar,mhi,Deva,mara1378,Marathi,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.013705689655231,0.424388873279011,0.7,0.2251422318931376,0.494141805495958
mhr_Cyrl,mhr,mme,Cyrl,gras1239,Meadow Mari,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,Uralic,Mari,0.0,0.3939687055476529,0.8,,
min_Arab,min,min,Arab,mina1268,Minangkabau (Jawi script),,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,Austronesian,Malayo-Sumbawan,0.0,0.3342406656052591,0.65,,
min_Latn,min,min,Latn,mina1268,Minangkabau (Latin script),,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,Austronesian,Malayo-Sumbawan,0.0005183936280125,0.2664754953076121,0.65,,
mkd_Cyrl,mkd,mcd,Cyrl,mace1250,Macedonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Slavic,0.0,0.3439148222999951,0.57,,
mlt_Latn,mlt,mlt,Latn,malt1254,Maltese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Semitic,0.0027886718357189,0.3995223102811855,0.86,,
mni_Beng,mni,mei,Beng,mani1292,"Meitei (Manipuri, Bengali script)",1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,Sino-Tibetan,Manipuri,9.322733572110016e-05,0.4079489857621901,0.69,,
mni_Mtei,mni,mei,Mtei,mani1292,"Meitei (Manipuri, Meitei script)",1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,Sino-Tibetan,Manipuri,0.0,0.3899730287164842,0.69,,
mos_Latn,mos,moo,Latn,moss1236,Mossi,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,Niger-Congo,Oti-Volta,0.0004135929016664,0.2575701089432915,0.68,,
mri_Latn,mri,mao,Latn,maor1246,Maori,7.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Austronesian,Oceanic,0.0016933239889773,0.1271267040050724,0.53,,
mya_Mymr,mya,brm,Mymr,nucl1310,Burmese,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,Sino-Tibetan,Burmese-Lolo,0.0026348369125403,0.8339107195882411,0.73,,
nld_Latn,nld,dut,Latn,dutc1256,Dutch,,,,,,,,,2.0,,,,0.2776345,0.002905767031,1.1522877355,0.0034340843605,0.4168981726,0.007091420108,9.8278255895,0.02616147395,9.491823557,0.025018012065,3.0,0.0,3.4666062695,0.23341611655,-0.5990001978499999,0.0,Indo-European,Germanic,0.0,0.2605930264482474,0.49,0.5224655205904492,0.65365583488978
nno_Latn,nno,,Latn,norw1262,Norwegian Nynorsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,5.480995148898899e-05,0.2837662649445431,0.57,,
nob_Latn,nob,,Latn,norw1259,Norwegian Bokmål,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0001409544888479,0.2954478851225945,0.52,,
npi_Deva,npi,nep,Deva,nepa1254,Nepali,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0082764886659896,0.4117647058823529,0.88,,
nqo_Nkoo,nqo,,Nkoo,nkoa1234,Nko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.2167617376042123,0.57,,
nso_Latn,nso,stn,Latn,pedi1238,Northern Sotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.001851045944895,0.1777654662973222,0.73,,
nus_Latn,nus,nue,Latn,nuer1246,Nuer,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Western Nilotic,0.0004939368855486,0.1701285116557083,0.71,,
nya_Latn,nya,cic,Latn,nyan1308,Nyanja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0037173772626579,0.3529566914596191,0.69,,
oci_Latn,oci,occ,Latn,occi1239,Occitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Romance,0.0097656341207747,0.2583724045545881,0.68,,
ory_Orya,ory,oya,Orya,oriy1255,Odia,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.007842104506314,0.3631878150809825,0.57,,
pag_Latn,pag,pnn,Latn,pang1290,Pangasinan,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Austronesian,Northern Luzon,0.0009071410292379,0.2658691877291144,0.72,,
pan_Guru,pan,pan,Guru,panj1256,Eastern Panjabi,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0061080329557168,0.2388065843621399,0.65,,
pap_Latn,pap,pap,Latn,papi1253,Papiamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,Creoles and Pidgins,0.0028615440809174,0.1943580170089193,1.0,,
pbt_Arab,pbt,,Arab,sout2649,Southern Pashto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0030421569890785,0.2616639723297868,0.57,,
pes_Arab,pes,prs,Arab,west2369,Western Persian,1.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,0.210736,0.002778867395,1.311090238,0.004401099533,0.1994997201,0.006480280061,9.746808365,0.02362500419,9.154790257,0.0284485492,6.0,0.0,2.883288676,0.02123794786,-0.6910323497,0.0,Indo-European,Iranian,0.0,0.2730387736699729,0.72,,
plt_Latn,plt,mal,Latn,plat1254,Plateau Malagasy,1.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,Austronesian,Barito,0.0023072113096052,0.2435938427807975,0.68,,
pol_Latn,pol,pol,Latn,poli1260,Polish,,,,,,,,,2.0,,,,0.41142625,0.0035591261015,1.470589479,0.0035602757635,0.4674302978,0.005334552055,11.22041198,0.024075656755,10.303765575,0.022719405495,10.0,0.0,3.9787162085,0.826411,-0.2875060689499999,0.0,Indo-European,Slavic,0.0,0.44462452728255,0.59,0.5495061104256599,0.8375117626189994
por_Latn,por,por,Latn,braz1246,Portuguese (Brazilian),,,,,,,,,2.0,3.0,,,0.286788,0.003077638055,1.269971018,0.00444164928,0.4226377998,0.008080790616,9.307546317,0.02991613103,8.717849644,0.02465421328,7.0,0.0,3.346369016,0.2441854357,-0.512995031,0.0,Indo-European,Romance,0.0251887680822745,0.2700221589110478,0.47,0.46710351941922107,0.5343837013373006
prs_Arab,prs,dri,Arab,dari1249,Dari,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Indo-European,Iranian,0.0012518626836118,0.2346034655842171,1.0,,
quy_Latn,quy,qay,Latn,ayac1239,Ayacucho Quechua,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Quechuan,Quechuan,0.0010604931047976,0.5238445588923818,0.92,,
ron_Latn,ron,rom,Latn,roma1327,Romanian,,,,,,,,,2.0,,,,0.2758895,0.0036367798639999,1.7756726315,0.0050230030015,0.42018721275,0.0073562020545,9.999405354,0.02502473342,8.8749691385,0.028757345135,8.05,0.15,3.883758134,0.6702779786999999,-0.3030110949,0.0,Indo-European,Romance,0.0,0.3114768683274021,0.53,0.46531502686937143,0.580213481410375
run_Latn,run,rnd,Latn,rund1242,Rundi,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0020182915595327,0.3516313823163138,0.95,,
rus_Cyrl,rus,rus,Cyrl,russ1263,Russian,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,0.4625082499999999,0.00463147432,1.4782379529999998,0.004069824834,0.4873502554,0.006231377053,11.579303565,0.02760559511,10.79271158,0.02492292857,11.5,0.0,3.5974929235,0.58373414245,-0.2865155575,0.0,Indo-European,Slavic,0.0203632438640874,0.4371939535873962,0.49,0.514019762702046,0.787732531566447
sag_Latn,sag,san,Latn,sang1328,Sango,1.0,5.0,6.0,1.0,4.0,2.0,5.0,2.0,6.0,,1.0,3.0,,,,,,,,,,,,,,,,,Niger-Congo,Ubangi,0.0008622312773801,0.1081697701727898,0.62,,
san_Deva,san,,Deva,sans1269,Sanskrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0015578409222043,0.5109167635007034,0.86,0.5456985376171136,0.49132511214328645
sat_Olck,sat,stl,Olck,sant1410,Santali,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,Austro-Asiatic,Munda,0.0,0.2741046233991752,0.72,,
scn_Latn,scn,,Latn,sici1248,Sicilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0005333312703632,0.3076958803585528,0.63,,
shn_Mymr,shn,sha,Mymr,shan1277,Shan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tai-Kadai,Kam-Tai,0.0001672328505389,0.7912360034453058,0.77,,
sin_Sinh,sin,snh,Sinh,sinh1246,Sinhala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0079569115566546,0.3521543086172344,0.78,,
slk_Latn,slk,svk,Latn,slov1269,Slovak,,,,,,,,,,,,,0.411039,0.004109322207,1.489446916,0.003475563111,0.4011295319,0.005610317843,11.2812817,0.02421293818,10.38410295,0.02786511911,10.0,0.0,3.981664793,0.7219756686,-0.3040405675,0.0,Indo-European,Slavic,0.0,0.4364602339808951,0.57,0.5619823132844476,0.8026812915924111
slv_Latn,slv,slo,Latn,slov1268,Slovenian,,,,,,,,,2.0,,,,0.397861,0.004112527082,1.489263086,0.004066053056,0.4468196569,0.006160322378,10.91581693,0.02351622518,9.921261355,0.0265127176,8.0,0.0,3.938216931,0.625168676,-0.2840205475,0.0,Indo-European,Slavic,0.0,0.4069498475449479,0.56,0.4572784824948805,0.8285233504238815
smo_Latn,smo,sam,Latn,samo1305,Samoan,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,Austronesian,Oceanic,0.001921769080563,0.1218254098629957,0.67,,
sna_Latn,sna,shn,Latn,shon1251,Shona,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0051588271098744,0.492082751926227,0.75,,
snd_Arab,snd,sdh,Arab,sind1272,Sindhi (Arabic script),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0038113077178725,0.2329422726695184,0.57,,
snd_Deva,snd,sdh,Deva,sind1272,Sindhi (Devanagari script),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0,0.262266644639022,0.57,,
som_Latn,som,som,Latn,soma1255,Somali,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Lowland East Cushitic,0.0046133626519866,0.334800953953403,0.62,,
sot_Latn,sot,ses,Latn,sout2807,Southern Sotho,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0033609808342466,0.1792270355096529,0.65,,
spa_Latn,spa,spa,Latn,amer1254,Spanish (Latin American),1.0,1.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,0.2972225,0.003451705614,1.2502803465,0.004702104137,0.4133810398,0.0073448451435,9.5649960345,0.026362508095,8.9274300275,0.0261070634699999,6.0,0.0,3.5235709505,0.3725195807,-0.5145175115,0.0,Indo-European,Romance,0.000208862411378,0.2616437797970742,0.4,0.4523871617282403,0.59241725775197
srd_Latn,srd,,Latn,sard1257,Sardinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0002483598207034,0.2416046319272125,0.57,,
srp_Cyrl,srp,,Cyrl,serb1264,Serbian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.4004213338814099,0.62,0.3409187567596479,0.6042900134004721
ssw_Latn,ssw,swt,Latn,swat1243,Swati,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.000795811648757,0.5736288756445457,0.71,,
sun_Latn,sun,sun,Latn,sund1252,Sundanese,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,Austronesian,Malayo-Sumbawan,0.003512278254606,0.2924195445311665,0.6,,
swe_Latn,swe,swe,Latn,swed1254,Swedish,,,,,,,,,2.0,,,,0.2585032499999999,0.0032860091565,1.3221704255,0.004129456089,0.463262613,0.0064330230239999,9.938116847,0.0239522141399999,9.3483403925,0.02731400946,7.94,1.1008490176,3.6604572365,0.3725949657,-0.45202537865,0.0,Indo-European,Germanic,0.0,0.3224294250978776,0.42,0.4248037827590363,0.4855419940061995
swh_Latn,swh,swa,Latn,swah1253,Swahili,1.0,5.0,1.0,3.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0092687779035118,0.2630923314564751,0.71,,
szl_Latn,szl,,Latn,sile1253,Silesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0003323388375478,0.4259871093538428,0.57,,
tam_Taml,tam,tml,Taml,tami1289,Tamil,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,Dravidian,Dravidian,0.0156680967085095,0.5201134930643128,0.71,0.15877967737516954,0.8344068484238656
taq_Latn,taq,tsk,Latn,tama1365,Tamasheq (Latin script),,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Berber,8.519324731813641e-05,0.3665861235761132,0.7,,
taq_Tfng,taq,tsk,Tfng,tama1365,Tamasheq (Tifinagh script),,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Berber,1.1292580453825333e-06,0.2268484492135822,0.7,,
tat_Cyrl,tat,tvo,Cyrl,tata1255,Tatar,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Altaic,Turkic,0.0031496358056737,0.4161965209214857,0.75,,
tel_Telu,tel,tel,Telu,telu1262,Telugu,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Dravidian,Dravidian,0.0218149214012385,0.4694408322496749,0.74,0.09503123213759862,0.6932028762667986
tgk_Cyrl,tgk,taj,Cyrl,taji1245,Tajik,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,Indo-European,Iranian,0.0034651418969041,0.3211584490186692,0.68,,
tha_Thai,tha,tha,Thai,thai1261,Thai,7.0,5.0,1.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Tai-Kadai,Kam-Tai,0.0,0.865656037637219,0.56,,
tir_Ethi,tir,tig,Ethi,tigr1271,Tigrinya,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Semitic,0.0016130436432443,0.4348601058658312,0.72,,
tpi_Latn,tpi,tpi,Latn,tokp1240,Tok Pisin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,Creoles and Pidgins,0.0004058168304012,0.1102758574400966,0.74,,
tsn_Latn,tsn,tsw,Latn,tswa1253,Tswana,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0030695049822396,0.170281959298622,1.0,,
tso_Latn,tso,tsn,Latn,tson1249,Tsonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0020255116631278,0.1829220677807277,0.85,,
tuk_Latn,tuk,tkm,Latn,turk1304,Turkmen,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Altaic,Turkic,0.0004093993482145,0.441394879106517,0.82,,
tum_Latn,tum,,Latn,tumb1250,Tumbuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0016079449328511,0.2779492977344871,0.57,,
tur_Latn,tur,tur,Latn,nucl1301,Turkish,1.0,1.0,1.0,4.0,2.0,3.0,5.0,2.0,2.0,1.0,4.0,3.0,0.3973865,0.004091740797,2.277891192,0.004205815956,0.5703778328,0.006529268287,11.72238627,0.0211867727,10.01303703,0.02646104679,13.0,0.0,3.585127389,0.7244514072,-0.2250154346,0.0,Altaic,Turkic,0.0191871634578307,0.4575329511200425,0.7,0.24424045400456304,0.673054073686215
twi_Latn_akua1239,twi,,Latn,akua1239,Akuapem Twi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.1949084160413136,0.75,,
twi_Latn_asan1239,twi,,Latn,asan1239,Asante Twi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.2025377064879099,0.75,,
uig_Arab,uig,uyg,Arab,uigh1240,Uyghur,,,,,,,,,2.0,1.0,,,0.2161355,0.002125115232,1.888052815,0.003646215992,0.5196785931,0.006364319284,10.61753551,0.01841483038,9.39449711,0.01870926493,12.0,0.0,3.382143065,0.8478510468,-0.3709937482,0.0,Altaic,Turkic,0.0022058798652826,0.4447636146020347,0.75,0.12820376948212994,0.770323489141614
ukr_Cyrl,ukr,ukr,Cyrl,ukra1253,Ukrainian,,,,,,,,,2.0,,,,0.4429405,0.004876513586,1.420014293,0.003918646676,0.4403247859,0.005846970769,11.53110833,0.02546923404,10.81092475,0.02691999664,8.89,0.3128897569,3.857030963,0.714238679,-0.3189926453,0.0,Indo-European,Slavic,0.0,0.4438806464067067,0.51,0.48500115208670835,0.7906922300933895
umb_Latn,umb,umb,Latn,umbu1257,Umbundu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0008902154696887,0.3819945581450372,0.57,,
urd_Arab,urd,urd,Arab,urdu1245,Urdu,,,,,,,,,2.0,,,,0.199242,0.002937649741,1.131727884,0.004446304484,0.1614606887,0.006737467388,9.652893288,0.02603714661,9.117100626,0.02516716346,10.21,0.4073082371,3.329645145,0.2545969317,-0.7370094646,0.0,Indo-European,Indic,0.0114263859533422,0.2269696969696969,0.67,0.2238122858920023,0.509824045675661
uzn_Latn,uzn,uzn,Latn,nort2690,Northern Uzbek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altaic,Turkic,0.0062043617850749,0.3942960850401866,0.73,,
vec_Latn,vec,,Latn,vene1259,Venetian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.000940893500088,0.2686362833421657,0.57,,
vie_Latn,vie,vie,Latn,viet1252,Vietnamese,2.0,5.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.1668725,0.001948234778,1.0,0.0,0.3713262688,0.007147892076,9.960514286,0.0220758692,9.960263782,0.02412185997,0.0,0.0,1.250803848,1.227632355,-1.0,0.0,Austro-Asiatic,Vietic,0.0,0.0980996226937588,0.57,0.5083985224359182,0.6535256716143261
war_Latn,war,wwy,Latn,wara1300,Waray,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Austronesian,Greater Central Philippine,0.002457460615118,0.2035141919289438,1.0,,
wol_Latn,wol,wlf,Latn,nucl1347,Wolof,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,Niger-Congo,Wolof,0.0009039622216317,0.2439160239931448,0.49,,
xho_Latn,xho,xho,Latn,xhos1239,Xhosa,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0046370872822186,0.5995598826353694,0.76,,
ydd_Hebr,ydd,ydb,Hebr,east2295,Eastern Yiddish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Germanic,0.0013992803650027,0.2690750261613358,0.79,,
yor_Latn,yor,yor,Latn,yoru1245,Yoruba,4.0,1.0,1.0,4.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,Niger-Congo,Defoid,0.0034080223729296,0.2502785917701927,0.61,,
yue_Hant,yue,cnt,Hant,xian1255,Yue Chinese (Hong Kong Cantonese),,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Sino-Tibetan,Chinese,0.0,0.9661266568483065,0.59,0.514203800491043,
zgh_Tfng,zgh,,Tfng,stan1324,Standard Moroccan Tamazight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.3137533106318577,0.57,,
zsm_Latn,zsm,mly,Latn,stan1306,Standard Malay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austronesian,Malayo-Sumbawan,0.0168439542900719,0.2450506625097427,0.79,,
zul_Latn,zul,zul,Latn,zulu1248,Zulu,1.0,5.0,1.0,3.0,1.0,2.0,5.0,2.0,6.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0048558382231948,0.5636654235482152,0.7,,
