lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
kbp_Latn,1.0,0.2,0.73,0.4496,0.5687,0.6
kea_Latn,0.9,0.2,0.57,0.5555,0.5687,0.7
khk_Cyrl,1.0,0.3,0.69,0.5109,0.2804,0.6
khm_Khmr,1.0,0.5,0.64,0.5101,0.5207,0.6
kik_Latn,1.0,0.3,0.75,0.5207,0.5687,0.6
kin_Latn,1.0,0.3,0.77,0.5182,0.5687,0.6
kir_Cyrl,1.0,0.3,0.77,0.5503,0.3277,0.6
kmb_Latn,1.0,0.4,0.57,0.5983,0.5687,0.6
kmr_Latn,0.9,0.2,0.74,0.4991,0.3277,0.6
knc_Arab,1.0,0.2,0.73,0.484,0.3277,0.6
knc_Latn,1.0,0.2,0.73,0.484,0.3277,0.6
kor_Hang,1.0,0.4,0.62,0.4866,0.4638,0.5
ktu_Latn,1.0,0.3,0.57,0.5274,0.5687,0.7
lao_Laoo,1.0,0.5,0.59,0.522,0.5687,0.6
lij_Latn,0.9,0.1,0.57,0.5983,0.5687,0.6
lim_Latn,0.6,0.0,0.57,0.5983,0.5687,0.6
lin_Latn,1.0,0.3,0.67,0.5119,0.5687,0.6
lit_Latn,0.9,0.1,0.68,0.4694,0.3498,0.5
lmo_Latn,0.9,0.1,0.57,0.5983,0.5687,0.6
ltg_Latn,1.0,1.0,0.57,0.5983,0.5687,0.6
ltz_Latn,0.6,0.0,0.72,0.5983,0.5687,0.8
lua_Latn,1.0,0.3,0.57,0.5983,0.3433,0.8
lug_Latn,1.0,0.3,0.78,0.4928,0.5687,0.6
luo_Latn,1.0,0.3,0.63,0.3969,0.4054,0.5
lus_Latn,1.0,0.4,0.76,0.4332,0.5687,0.6
lvs_Latn,1.0,1.0,0.57,0.5983,0.5687,0.6
mag_Deva,0.9,0.4,0.89,0.5983,0.5687,0.9
mai_Deva,0.9,0.4,0.63,0.4882,0.5687,0.6
mal_Mlym,1.0,0.4,0.77,0.5076,0.5687,0.6
mar_Deva,0.9,0.4,0.7,0.4513,0.5687,0.6
mhr_Cyrl,1.0,0.2,0.8,0.5249,0.4054,0.6
min_Arab,1.0,0.5,0.65,0.4776,0.5687,0.6
min_Latn,1.0,0.5,0.65,0.4776,0.5687,0.6
mkd_Cyrl,0.9,0.1,0.57,0.5064,0.5687,0.6
mlt_Latn,1.0,0.1,0.86,0.5207,0.5687,0.7
mni_Beng,1.0,0.4,0.69,0.492,0.4576,0.6
mni_Mtei,1.0,0.4,0.69,0.492,0.4576,0.6
mos_Latn,1.0,0.2,0.68,0.4776,0.9139,0.6
mri_Latn,1.0,0.9,0.53,0.6198,0.6373,0.6
mya_Mymr,1.0,0.4,0.73,0.3323,0.2566,0.5
nld_Latn,0.6,0.0,0.49,0.4861,0.5687,0.5
nno_Latn,1.0,1.0,0.57,0.5983,0.5687,0.6
nob_Latn,1.0,0.1,0.52,0.4769,0.4477,0.5
npi_Deva,0.9,1.0,0.88,0.5983,0.5687,0.9
nqo_Nkoo,1.0,1.0,0.57,0.5983,0.5687,0.6
nso_Latn,1.0,0.5,0.73,0.5983,0.5687,0.8
nus_Latn,1.0,0.3,0.71,0.4849,0.5687,0.6
nya_Latn,1.0,0.4,0.69,0.5983,0.5687,0.8
oci_Latn,0.9,0.1,0.68,0.5983,0.5687,0.8
ory_Orya,0.9,1.0,0.57,0.5983,0.5687,0.6
pag_Latn,1.0,0.5,0.72,0.5158,0.5687,0.6
pan_Guru,0.9,0.3,0.65,0.4336,0.5687,0.6
pap_Latn,0.9,0.4,1.0,0.5983,1.0,1.0
pbt_Arab,0.9,0.3,0.57,0.5983,0.5687,0.6
pes_Arab,0.9,0.3,0.72,0.4807,0.3433,0.6
plt_Latn,1.0,0.5,0.68,0.5093,0.2736,0.6
pol_Latn,0.9,0.1,0.59,0.5472,0.2804,0.5
por_Latn,0.9,0.1,0.47,0.4235,0.5687,0.5
prs_Arab,0.9,0.3,1.0,0.5983,0.5687,1.0
quy_Latn,1.0,0.5,0.92,0.6526,0.5687,0.8
ron_Latn,0.9,0.1,0.53,0.4997,0.3498,0.5
run_Latn,1.0,0.3,0.95,0.5119,0.5687,0.7
rus_Cyrl,0.9,0.2,0.49,0.5594,0.2804,0.5
sag_Latn,1.0,0.3,0.62,0.4466,0.5096,0.5
san_Deva,0.9,0.4,0.86,0.5552,0.5687,0.7
sat_Olck,1.0,0.4,0.72,0.4774,0.5687,0.6
scn_Latn,0.9,0.1,0.63,0.5983,0.5687,0.8
shn_Mymr,1.0,0.4,0.77,0.5983,0.5207,0.8
sin_Sinh,0.9,0.4,0.78,0.4991,0.4121,0.6
slk_Latn,0.9,0.1,0.57,0.5983,0.5687,0.6
slv_Latn,0.9,0.1,0.56,0.4546,0.5687,0.5
smo_Latn,1.0,0.8,0.67,0.5983,0.5687,0.8
sna_Latn,1.0,0.4,0.75,0.5348,0.5687,0.6
snd_Arab,0.9,0.3,0.57,0.494,0.4054,0.6
snd_Deva,0.9,0.3,0.57,0.494,0.4054,0.6
som_Latn,1.0,0.3,0.62,0.4645,0.4816,0.5
sot_Latn,1.0,0.5,0.65,0.5983,0.5687,0.8
spa_Latn,0.9,0.1,0.4,0.5481,0.3433,0.5
srd_Latn,1.0,1.0,0.57,0.5983,0.5687,0.6
srp_Cyrl,0.9,0.1,0.62,0.5983,0.8632,0.8
ssw_Latn,1.0,0.5,0.71,0.5983,0.5687,0.8
sun_Latn,1.0,0.6,0.6,0.529,0.5687,0.6
swe_Latn,0.7,0.1,0.42,0.5242,0.5687,0.5
swh_Latn,1.0,0.4,0.71,0.484,0.2736,0.6
szl_Latn,0.9,1.0,0.57,0.5983,0.5687,0.6
tam_Taml,1.0,0.4,0.71,0.5014,0.5687,0.6
taq_Latn,1.0,0.2,0.7,0.4997,0.5687,0.6
taq_Tfng,1.0,0.2,0.7,0.4997,0.5687,0.6
tat_Cyrl,1.0,0.2,0.75,0.5983,0.805,0.8
tel_Telu,1.0,0.4,0.74,0.4519,0.3498,0.5
tgk_Cyrl,0.9,0.3,0.68,0.5983,0.5687,0.8
tha_Thai,1.0,0.5,0.56,0.4147,0.39,0.5
tir_Ethi,1.0,0.3,0.72,0.5229,0.5687,0.6
tpi_Latn,0.1,0.7,0.74,0.6077,0.5687,0.7
tsn_Latn,1.0,0.4,1.0,0.5983,0.5687,1.0
tso_Latn,1.0,0.5,0.85,0.5983,0.5687,0.9
tuk_Latn,1.0,0.2,0.82,0.5983,0.805,0.9
tum_Latn,1.0,0.4,0.57,0.5983,0.5687,0.6
tur_Latn,1.0,0.1,0.7,0.5183,0.3433,0.6
twi_Latn_akua1239,1.0,0.3,0.75,0.5983,0.5687,0.8
twi_Latn_asan1239,1.0,0.3,0.75,0.5983,0.5687,0.8
uig_Arab,1.0,0.3,0.75,0.5983,0.8886,0.8
ukr_Cyrl,0.9,0.1,0.51,0.4661,0.5687,0.5
umb_Latn,1.0,0.4,0.57,0.5026,0.4638,0.6
urd_Arab,0.9,0.3,0.67,0.4923,0.5687,0.6
uzn_Latn,1.0,0.2,0.73,0.5491,0.805,0.6
vec_Latn,0.9,0.1,0.57,0.5983,0.5687,0.6
vie_Latn,1.0,0.5,0.57,0.455,0.427,0.5
war_Latn,1.0,0.6,1.0,0.5983,0.5687,1.0
wol_Latn,1.0,0.2,0.49,0.4731,0.3498,0.5
xho_Latn,1.0,0.5,0.76,0.5032,0.5687,0.6
ydd_Hebr,0.6,0.1,0.79,0.5319,0.5687,0.7
yor_Latn,1.0,0.3,0.61,0.5093,0.5348,0.6
yue_Hant,1.0,0.5,0.59,0.5043,0.5348,0.5
zgh_Tfng,1.0,1.0,0.57,0.5983,0.5687,0.6
zsm_Latn,1.0,0.5,0.79,0.4951,0.5687,0.6
zul_Latn,1.0,0.5,0.7,0.5582,0.5335,0.6
