lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
kbp_Latn,1.0,0.2,0.77,0.4959,0.5922,0.6
kea_Latn,1.0,0.3,0.55,0.4659,0.5922,0.6
khk_Cyrl,1.0,0.3,0.44,0.5199,0.3613,0.5
khm_Khmr,1.0,0.4,0.83,0.5526,0.5922,0.7
kik_Latn,1.0,0.2,0.78,0.573,0.5922,0.7
kin_Latn,1.0,0.2,0.82,0.527,0.5922,0.7
kir_Cyrl,0.4286,0.2,0.55,0.4865,0.2677,0.5
kmb_Latn,1.0,0.3,0.55,0.6196,0.5922,0.6
kmr_Latn,1.0,0.0,0.74,0.5051,0.3862,0.6
knc_Arab,1.0,0.2,0.59,0.524,0.3862,0.5
knc_Latn,1.0,0.2,0.59,0.524,0.3862,0.5
kor_Hang,1.0,0.4,0.55,0.5168,0.5319,0.5
ktu_Latn,1.0,0.2,0.55,0.544,0.5922,0.7
lao_Laoo,1.0,0.4,0.81,0.5319,0.5922,0.7
lij_Latn,1.0,0.1,0.55,0.6196,0.5922,0.6
lim_Latn,1.0,0.1,0.55,0.6196,0.5922,0.6
lin_Latn,1.0,0.2,0.87,0.5656,0.5922,0.7
lit_Latn,1.0,0.1,0.56,0.4959,0.2952,0.5
lmo_Latn,1.0,0.1,0.55,0.6196,0.5922,0.6
ltg_Latn,1.0,1.0,0.55,0.6196,0.5922,0.6
ltz_Latn,1.0,0.1,0.76,0.6196,0.5922,0.9
lua_Latn,1.0,0.3,0.55,0.6196,0.2871,0.8
lug_Latn,1.0,0.2,0.78,0.5283,0.5922,0.7
luo_Latn,1.0,0.2,0.78,0.4577,0.3613,0.6
lus_Latn,1.0,0.3,0.77,0.484,0.5922,0.6
lvs_Latn,1.0,1.0,0.55,0.6196,0.5922,0.6
mag_Deva,1.0,0.3,0.71,0.6196,0.5922,0.8
mai_Deva,1.0,0.3,0.68,0.5967,0.5922,0.7
mal_Mlym,1.0,0.3,0.62,0.5298,0.5922,0.6
