lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
kaz_Cyrl,1.0,0.2,0.77,0.6737,0.879,0.9
kbp_Latn,1.0,0.2,0.8,0.392,0.0002,0.6
kea_Latn,0.3,0.2,0.61,0.315,0.0002,0.6
khk_Cyrl,1.0,0.3,0.79,0.5422,0.6162,0.7
khm_Khmr,1.0,0.5,0.63,0.592,0.6667,0.6
kik_Latn,1.0,0.3,0.73,0.5427,0.0002,0.6
kin_Latn,1.0,0.3,0.8,0.4592,0.0002,0.6
kir_Cyrl,1.0,0.2,0.69,0.597,0.5456,0.7
kmb_Latn,1.0,0.3,0.61,0.6737,0.0002,0.7
kmr_Latn,0.9,0.1,0.62,0.539,0.5456,0.6
knc_Arab,1.0,0.2,0.72,0.4533,0.5456,0.6
knc_Latn,1.0,0.2,0.72,0.4533,0.5456,0.6
kor_Hang,1.0,0.4,0.69,0.5861,0.641,0.7
ktu_Latn,1.0,0.3,0.61,0.3953,0.0002,0.6
lao_Laoo,1.0,0.4,0.52,0.441,0.0002,0.5
lij_Latn,0.3,0.0,0.61,0.6737,0.0002,0.7
lim_Latn,0.9,0.1,0.61,0.6737,0.0002,0.7
lin_Latn,1.0,0.2,0.73,0.3379,0.0002,0.5
lit_Latn,0.75,0.1,0.53,0.4906,0.641,0.5
lmo_Latn,0.3,0.0,0.61,0.6737,0.0002,0.7
ltg_Latn,1.0,1.0,0.61,0.6737,0.0002,0.7
ltz_Latn,0.9,0.0,0.73,0.6737,0.0002,0.8
lua_Latn,1.0,0.3,0.61,0.6737,0.5922,1.0
lug_Latn,1.0,0.3,0.76,0.4065,0.0002,0.6
luo_Latn,1.0,0.3,0.53,0.4605,0.6162,0.5
lus_Latn,1.0,0.4,0.79,0.4312,0.0002,0.6
lvs_Latn,1.0,1.0,0.61,0.6737,0.0002,0.7
mag_Deva,0.9,0.3,0.8,0.6737,0.0002,0.9
mai_Deva,0.9,0.3,0.71,0.5448,0.0002,0.6
mal_Mlym,1.0,0.4,0.81,0.5611,0.0002,0.7
mar_Deva,0.9,0.3,0.74,0.5248,0.0002,0.6
mhr_Cyrl,1.0,0.1,0.75,0.5202,0.6162,0.6
min_Arab,1.0,0.5,0.61,0.4096,0.0002,0.5
min_Latn,1.0,0.5,0.61,0.4096,0.0002,0.5
mkd_Cyrl,0.9,0.0,0.56,0.4473,0.0002,0.5
mlt_Latn,1.0,0.0,1.0,0.385,0.0002,0.6
mni_Beng,1.0,0.4,0.79,0.5422,0.5228,0.7
mni_Mtei,1.0,0.4,0.79,0.5422,0.5228,0.7
mos_Latn,1.0,0.2,0.74,0.3804,0.7223,0.6
mri_Latn,1.0,0.9,0.6,0.61,0.7223,0.6
mya_Mymr,1.0,0.4,0.8,0.4682,0.5228,0.7
nld_Latn,0.9,0.1,0.43,0.4305,0.0002,0.4
nno_Latn,1.0,1.0,0.61,0.6737,0.0002,0.7
nob_Latn,1.0,0.1,0.56,0.639,0.5922,0.6
npi_Deva,0.9,1.0,0.83,0.6737,0.0002,0.9
nqo_Nkoo,1.0,1.0,0.61,0.6737,0.0002,0.7
nso_Latn,1.0,0.4,0.71,0.6737,0.0002,0.8
nus_Latn,1.0,0.2,0.6,0.5052,0.0002,0.5
nya_Latn,1.0,0.3,0.61,0.6737,0.0002,0.7
oci_Latn,0.3,0.0,0.65,0.6737,0.0002,0.8
ory_Orya,0.9,1.0,0.61,0.6737,0.0002,0.7
pag_Latn,1.0,0.5,0.66,0.4692,0.0002,0.6
pan_Guru,0.8571,0.3,0.59,0.5192,0.0002,0.6
pap_Latn,0.3,0.4,1.0,0.6737,0.879,1.0
pbt_Arab,0.9,0.2,0.61,0.6737,0.0002,0.7
pes_Arab,0.875,0.2,0.65,0.4828,0.5922,0.6
plt_Latn,1.0,0.4,0.7,0.4263,0.5687,0.6
pol_Latn,0.9,0.1,0.4,0.498,0.6162,0.5
por_Latn,0.5333,0.1,0.3,0.351,0.0002,0.3
prs_Arab,0.9,0.2,1.0,0.6737,0.0002,1.0
quy_Latn,1.0,0.5,0.82,0.5707,0.0002,0.7
ron_Latn,0.3333,0.0,0.42,0.3812,0.641,0.4
run_Latn,1.0,0.3,0.94,0.3714,0.0002,0.6
rus_Cyrl,0.8,0.2,0.56,0.4693,0.6162,0.5
sag_Latn,1.0,0.2,0.68,0.3855,0.5456,0.6
san_Deva,0.9,0.3,0.81,0.5471,0.0002,0.7
sat_Olck,1.0,0.3,0.67,0.5409,0.0002,0.6
scn_Latn,0.1,0.0,0.49,0.6737,0.0002,0.7
shn_Mymr,1.0,0.4,0.75,0.6737,0.6667,0.9
sin_Sinh,0.8333,0.4,0.72,0.597,0.6667,0.7
slk_Latn,0.9,0.0,0.61,0.6737,0.0002,0.7
slv_Latn,0.9,0.0,0.45,0.4312,0.0002,0.4
smo_Latn,1.0,0.8,0.54,0.6737,0.0002,0.7
sna_Latn,1.0,0.3,0.76,0.5168,0.0002,0.6
snd_Arab,0.9,0.3,0.61,0.542,0.6162,0.7
snd_Deva,0.9,0.3,0.61,0.542,0.6162,0.7
som_Latn,1.0,0.3,0.63,0.5625,0.5687,0.6
sot_Latn,1.0,0.4,0.73,0.6737,0.0002,0.8
spa_Latn,0.4615,0.1,0.47,0.5037,0.5922,0.5
srd_Latn,1.0,1.0,0.61,0.6737,0.0002,0.7
srp_Cyrl,0.9,0.0,0.61,0.6737,0.8278,0.8
ssw_Latn,1.0,0.4,0.71,0.6737,0.0002,0.8
sun_Latn,1.0,0.5,0.52,0.5037,0.0002,0.5
swe_Latn,0.9,0.1,0.51,0.5422,0.0002,0.5
swh_Latn,1.0,0.3,0.66,0.4304,0.5687,0.6
szl_Latn,0.9,1.0,0.61,0.6737,0.0002,0.7
tam_Taml,1.0,0.4,0.75,0.5747,0.0002,0.7
taq_Latn,1.0,0.2,0.64,0.5056,0.0002,0.6
taq_Tfng,1.0,0.2,0.64,0.5056,0.0002,0.6
tat_Cyrl,1.0,0.1,0.68,0.6737,0.879,0.8
tel_Telu,1.0,0.3,0.72,0.5157,0.641,0.6
tgk_Cyrl,0.9,0.2,0.59,0.6737,0.0002,0.7
tha_Thai,1.0,0.4,0.61,0.4905,0.5687,0.6
tir_Ethi,1.0,0.2,0.72,0.4608,0.0002,0.6
tpi_Latn,0.9,0.7,0.66,0.6194,0.0002,0.6
tsn_Latn,1.0,0.4,1.0,0.6737,0.0002,1.0
tso_Latn,1.0,0.4,0.89,0.6737,0.0002,0.9
tuk_Latn,1.0,0.2,0.74,0.6737,0.879,0.8
tum_Latn,1.0,0.3,0.61,0.6737,0.0002,0.7
tur_Latn,1.0,0.1,0.67,0.5168,0.5922,0.6
twi_Latn_akua1239,1.0,0.2,0.79,0.6737,0.0002,0.9
twi_Latn_asan1239,1.0,0.2,0.79,0.6737,0.0002,0.9
uig_Arab,1.0,0.3,0.78,0.6737,0.7877,0.9
ukr_Cyrl,0.9,0.1,0.45,0.3926,0.0002,0.4
umb_Latn,1.0,0.3,0.61,0.4751,0.641,0.7
