lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
kbp_Latn,1.0,0.2,0.81,0.6506,0.0002,0.9
kea_Latn,1.0,0.4,0.67,0.6784,0.0002,1.0
khk_Cyrl,1.0,0.3,0.81,0.6597,0.6162,0.9
khm_Khmr,1.0,0.3,0.69,0.6372,0.6667,0.8
kik_Latn,1.0,0.2,0.81,0.688,0.0002,0.9
kin_Latn,1.0,0.2,0.73,0.6552,0.0002,0.9
kir_Cyrl,1.0,0.2,0.77,0.6328,0.5456,0.9
kmb_Latn,1.0,0.3,0.67,0.0,0.0002,0.8
kmr_Latn,1.0,0.1,0.72,0.6328,0.5456,0.9
knc_Arab,1.0,0.2,0.84,0.6196,0.5456,0.9
knc_Latn,1.0,0.2,0.84,0.6196,0.5456,0.9
kor_Hang,1.0,0.4,0.81,0.6737,0.641,0.9
ktu_Latn,1.0,0.2,0.67,0.7181,0.0002,1.0
lao_Laoo,1.0,0.3,0.66,0.6643,0.0002,0.8
lij_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
lim_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
lin_Latn,1.0,0.2,0.8,0.6929,0.0002,0.9
lit_Latn,1.0,0.2,0.66,0.6506,0.641,0.8
lmo_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
ltg_Latn,1.0,1.0,0.67,0.0,0.0002,0.8
ltz_Latn,1.0,0.2,0.82,0.0,0.0002,0.8
lua_Latn,1.0,0.2,0.67,0.0,0.5922,1.0
lug_Latn,1.0,0.2,0.77,0.7028,0.0002,0.9
luo_Latn,1.0,0.2,0.7,0.6153,0.6162,0.8
lus_Latn,1.0,0.2,0.84,0.669,0.0002,0.9
lvs_Latn,1.0,1.0,0.67,0.0,0.0002,0.8
mag_Deva,1.0,0.2,0.86,0.0,0.0002,0.9
mai_Deva,1.0,0.2,0.72,0.6284,0.0002,0.8
mal_Mlym,1.0,0.2,0.87,0.6153,0.0002,0.9
mar_Deva,1.0,0.2,0.81,0.6284,0.0002,0.9
mhr_Cyrl,1.0,0.2,0.82,0.6025,0.6162,0.9
min_Arab,1.0,0.3,0.71,0.6784,0.0002,0.8
min_Latn,1.0,0.3,0.71,0.6784,0.0002,0.8
mkd_Cyrl,1.0,0.1,0.71,0.6737,0.0002,0.8
mlt_Latn,0.25,0.1,1.0,0.688,0.0002,1.0
mni_Beng,1.0,0.2,0.88,0.6597,0.5228,0.9
mni_Mtei,1.0,0.2,0.88,0.6597,0.5228,0.9
mos_Latn,1.0,0.3,0.67,0.6784,0.7223,0.8
mri_Latn,1.0,0.8,0.64,0.7508,0.7223,0.7
mya_Mymr,1.0,0.3,0.84,0.624,0.5228,0.9
nld_Latn,1.0,0.2,0.75,0.6068,0.0002,0.9
nno_Latn,1.0,1.0,0.67,0.0,0.0002,0.8
nob_Latn,1.0,0.2,0.67,0.5898,0.5922,0.8
npi_Deva,1.0,1.0,0.9,0.0,0.0002,0.9
nqo_Nkoo,1.0,1.0,0.67,0.0,0.0002,0.8
nso_Latn,1.0,0.3,0.79,0.0,0.0002,0.8
nus_Latn,1.0,0.1,0.65,0.6416,0.0002,0.8
nya_Latn,1.0,0.2,0.66,0.0,0.0002,0.7
oci_Latn,1.0,0.2,0.8,0.0,0.0002,0.8
ory_Orya,1.0,1.0,0.67,0.0,0.0002,0.8
pag_Latn,1.0,0.4,0.55,0.713,0.0002,0.7
pan_Guru,1.0,0.2,0.74,0.5732,0.0002,0.8
pap_Latn,1.0,0.6,0.87,0.0,0.879,0.9
pbt_Arab,1.0,0.1,0.67,0.0,0.0002,0.8
pes_Arab,1.0,0.1,0.75,0.6552,0.5922,0.9
plt_Latn,1.0,0.3,0.62,0.6832,0.5687,0.8
pol_Latn,1.0,0.2,0.59,0.6597,0.6162,0.8
por_Latn,1.0,0.2,0.61,0.6328,0.0002,0.8
prs_Arab,1.0,0.1,1.0,0.0,0.0002,1.0
quy_Latn,1.0,0.7,0.95,0.7287,0.0002,1.0
ron_Latn,1.0,0.1,0.59,0.6552,0.641,0.8
run_Latn,1.0,0.2,1.0,0.6929,0.0002,1.0
rus_Cyrl,1.0,0.2,0.67,0.688,0.6162,0.8
sag_Latn,1.0,0.2,0.77,0.6416,0.5456,0.9
san_Deva,1.0,0.2,0.87,0.6416,0.0002,0.9
sat_Olck,1.0,0.2,0.76,0.6461,0.0002,0.9
scn_Latn,1.0,0.1,0.63,0.0,0.0002,0.6
shn_Mymr,1.0,0.3,0.79,0.0,0.6667,0.8
sin_Sinh,1.0,0.2,0.86,0.6328,0.6667,0.9
slk_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
slv_Latn,1.0,0.2,0.61,0.669,0.0002,0.8
smo_Latn,1.0,0.8,0.63,0.0,0.0002,0.6
sna_Latn,1.0,0.3,0.81,0.6196,0.0002,0.9
snd_Arab,1.0,0.1,0.67,0.5526,0.6162,1.0
snd_Deva,1.0,0.1,0.67,0.5526,0.6162,1.0
som_Latn,0.8889,0.1,0.69,0.5983,0.5687,0.8
