lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
kaz_Cyrl,1.0,0.2,0.76,0.6068,0.879,0.9
kbp_Latn,1.0,0.2,0.72,0.4354,0.0002,0.5
kea_Latn,0.9,0.2,0.63,0.4647,0.0002,0.6
khk_Cyrl,1.0,0.3,0.73,0.5183,0.6162,0.6
khm_Khmr,1.0,0.5,0.72,0.5511,0.6667,0.6
kik_Latn,1.0,0.3,0.74,0.5297,0.0002,0.6
kin_Latn,1.0,0.3,0.79,0.4474,0.0002,0.6
kir_Cyrl,1.0,0.3,0.7,0.4871,0.5456,0.6
kmb_Latn,1.0,0.3,0.63,0.6068,0.0002,0.6
kmr_Latn,0.9,0.2,0.63,0.4871,0.5456,0.6
knc_Arab,1.0,0.2,0.75,0.524,0.5456,0.6
knc_Latn,1.0,0.2,0.75,0.524,0.5456,0.6
kor_Hang,1.0,0.4,0.66,0.5145,0.641,0.6
ktu_Latn,1.0,0.3,0.63,0.4936,0.0002,0.6
lao_Laoo,1.0,0.5,0.61,0.4711,0.0002,0.5
lij_Latn,0.9,0.0,0.63,0.6068,0.0002,0.6
lim_Latn,0.5,0.0,0.63,0.6068,0.0002,0.6
lin_Latn,1.0,0.3,0.75,0.4331,0.0002,0.6
lit_Latn,0.75,0.1,0.52,0.4954,0.641,0.5
lmo_Latn,0.9,0.0,0.63,0.6068,0.0002,0.6
ltg_Latn,1.0,1.0,0.63,0.6068,0.0002,0.6
ltz_Latn,0.5,0.0,0.71,0.6068,0.0002,0.8
lua_Latn,1.0,0.3,0.63,0.6068,0.5922,1.0
lug_Latn,1.0,0.3,0.77,0.4335,0.0002,0.6
luo_Latn,1.0,0.3,0.61,0.4959,0.6162,0.6
lus_Latn,1.0,0.4,0.75,0.4622,0.0002,0.6
lvs_Latn,1.0,1.0,0.63,0.6068,0.0002,0.6
mag_Deva,0.9,0.4,0.79,0.6068,0.0002,0.9
mai_Deva,0.9,0.4,0.72,0.5786,0.0002,0.6
mal_Mlym,1.0,0.4,0.73,0.5933,0.0002,0.6
mar_Deva,0.9,0.4,0.7,0.5625,0.0002,0.6
mhr_Cyrl,1.0,0.1,0.73,0.4623,0.6162,0.6
min_Arab,1.0,0.5,0.58,0.4427,0.0002,0.5
min_Latn,1.0,0.5,0.58,0.4427,0.0002,0.5
mkd_Cyrl,0.8571,0.1,0.6,0.5145,0.0002,0.5
mlt_Latn,1.0,0.1,1.0,0.4885,0.0002,0.6
mni_Beng,1.0,0.4,0.76,0.5726,0.5228,0.7
mni_Mtei,1.0,0.4,0.76,0.5726,0.5228,0.7
mos_Latn,1.0,0.2,0.67,0.4647,0.7223,0.6
mri_Latn,1.0,0.9,0.59,0.5892,0.7223,0.6
mya_Mymr,1.0,0.4,0.72,0.4643,0.5228,0.6
nld_Latn,0.0,0.0,0.0,0.0,0.0002,0.0
nno_Latn,1.0,1.0,0.63,0.6068,0.0002,0.6
nob_Latn,1.0,0.1,0.41,0.5605,0.5922,0.6
npi_Deva,0.9,1.0,0.82,0.6068,0.0002,0.9
nqo_Nkoo,1.0,1.0,0.63,0.6068,0.0002,0.6
nso_Latn,1.0,0.4,0.77,0.6068,0.0002,0.9
nus_Latn,1.0,0.3,0.66,0.5277,0.0002,0.6
nya_Latn,1.0,0.4,0.69,0.6068,0.0002,0.8
oci_Latn,0.9,0.0,0.66,0.6068,0.0002,0.8
ory_Orya,0.9,1.0,0.63,0.6068,0.0002,0.6
pag_Latn,1.0,0.5,0.77,0.4816,0.0002,0.6
pan_Guru,0.8571,0.3,0.63,0.4873,0.0002,0.5
pap_Latn,0.9,0.4,1.0,0.6068,0.879,1.0
pbt_Arab,0.9,0.3,0.63,0.6068,0.0002,0.6
pes_Arab,0.875,0.2,0.67,0.4679,0.5922,0.6
plt_Latn,1.0,0.4,0.78,0.5378,0.5687,0.7
pol_Latn,0.9,0.0,0.53,0.5368,0.6162,0.6
por_Latn,0.9333,0.1,0.49,0.3863,0.0002,0.4
prs_Arab,0.9,0.3,1.0,0.6068,0.0002,1.0
quy_Latn,1.0,0.5,0.8,0.5839,0.0002,0.7
ron_Latn,0.8889,0.1,0.55,0.4679,0.641,0.5
run_Latn,1.0,0.3,0.88,0.4788,0.0002,0.6
rus_Cyrl,0.8,0.2,0.57,0.5297,0.6162,0.6
sag_Latn,1.0,0.3,0.66,0.4324,0.5456,0.6
san_Deva,0.9,0.4,0.8,0.5789,0.0002,0.6
sat_Olck,1.0,0.4,0.67,0.5389,0.0002,0.6
scn_Latn,0.9,0.1,0.57,0.6068,0.0002,0.8
shn_Mymr,1.0,0.4,0.81,0.6068,0.6667,0.9
sin_Sinh,0.8333,0.4,0.71,0.5569,0.6667,0.6
slk_Latn,0.9,0.1,0.63,0.6068,0.0002,0.6
slv_Latn,0.9,0.0,0.5,0.4622,0.0002,0.5
smo_Latn,1.0,0.8,0.64,0.6068,0.0002,0.8
sna_Latn,1.0,0.4,0.74,0.507,0.0002,0.6
snd_Arab,0.9,0.3,0.63,0.4818,0.6162,0.6
snd_Deva,0.9,0.3,0.63,0.4818,0.6162,0.6
som_Latn,1.0,0.3,0.62,0.5193,0.5687,0.6
sot_Latn,1.0,0.5,0.71,0.6068,0.0002,0.8
spa_Latn,0.9231,0.1,0.58,0.557,0.5922,0.6
srd_Latn,1.0,1.0,0.63,0.6068,0.0002,0.6
srp_Cyrl,0.9,0.1,0.58,0.6068,0.8278,0.8
ssw_Latn,1.0,0.5,0.73,0.6068,0.0002,0.8
sun_Latn,1.0,0.6,0.65,0.5378,0.0002,0.6
swe_Latn,0.7,0.1,0.36,0.46,0.0002,0.4
swh_Latn,1.0,0.4,0.71,0.4894,0.5687,0.6
szl_Latn,0.9,1.0,0.63,0.6068,0.0002,0.6
tam_Taml,1.0,0.4,0.71,0.5729,0.0002,0.6
taq_Latn,1.0,0.2,0.75,0.4261,0.0002,0.6
taq_Tfng,1.0,0.2,0.75,0.4261,0.0002,0.6
tat_Cyrl,1.0,0.1,0.66,0.6068,0.879,0.8
tel_Telu,1.0,0.4,0.67,0.518,0.641,0.6
tgk_Cyrl,0.9,0.2,0.59,0.6068,0.0002,0.8
tha_Thai,1.0,0.5,0.69,0.4799,0.5687,0.6
tir_Ethi,1.0,0.3,0.64,0.4757,0.0002,0.5
tpi_Latn,0.6,0.7,0.7,0.621,0.0002,0.7
tsn_Latn,1.0,0.4,1.0,0.6068,0.0002,1.0
