lang,iso_code,wals_code,script,variety,name,family,genus,d_syn,train_frac_estimate,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,h_dep_avg,h_codep_avg
hun_Latn,hun,hun,Latn,hung1274,Hungarian,Uralic,Ugric,0.6,0.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,3.0,0.451831750339213,0.348783,0.004860597803,1.391733545,0.004667974766,0.5965972903,0.007500796436,10.77446023,0.02264205279,10.17339126,0.02637111889,8.0,0.0,3.72509046,0.6553107254,-0.3979728231,0.0,0.4268370635128947,0.7945119563162655
ind_Latn,ind,ind,Latn,indo1316,Indonesian,Austronesian,Malayo-Sumbawan,0.52,0.0040779026946507,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,0.2534618662121857,0.302711,0.003485122523,1.038599384,0.001842578583,0.3359898069,0.005788804623,10.75660006,0.02742603645,10.68784507,0.02990780641,6.7,0.4582575695,2.711112641,0.3036415377,-0.8030036024,0.0,0.3237585665377339,0.4990354825170898
ita_Latn,ita,ita,Latn,ital1282,Italian,Indo-European,Romance,0.51,0.0,,,,,,,,,2.0,3.0,,,0.275741935483871,0.2437408333333333,0.0030536672763333,1.304717124666667,0.0044521739226666,0.5009519405333334,0.0085614510436666,9.430709779666666,0.0259568482333333,8.619637586000001,0.0266694245966666,6.0,0.0,3.492087011333333,0.3069961418,-0.5456943969666667,0.0,0.4682571438046256,0.643149735768213
jpn_Jpan,jpn,jpn,Jpan,nucl1643,Japanese,Japanese,Japanese,0.66,0.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.9937106918238994,0.2827255,0.00323656836,1.043163617,0.002361720004,0.3218547644,0.008011033919,9.533716339,0.02308107841,9.313048038,0.02684178501,0.0,0.0,1.342381297,1.342407073,-0.9159938381,0.0,0.0,0.4688421344479345
kor_Hang,kor,kor,Hang,kore1280,Korean,Korean,Korean,0.62,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5933598937583001,0.5807387500000001,0.005538113876,0.995823606,0.00067443091565,0.222727112,0.0030324731495,12.760775425,0.02299842258,12.77096616,0.0219841214,0.0,0.0,1.218765428,1.2187962495,-0.8032718347,0.0,0.0844287151009395,0.232509952140781
nld_Latn,nld,dut,Latn,dutc1256,Dutch,Indo-European,Germanic,0.49,0.0,,,,,,,,,2.0,,,,0.2605930264482474,0.2776345,0.002905767031,1.1522877355,0.0034340843605,0.4168981726,0.007091420108,9.8278255895,0.02616147395,9.491823557,0.025018012065,3.0,0.0,3.4666062695,0.23341611655,-0.5990001978499999,0.0,0.5224655205904492,0.65365583488978
pes_Arab,pes,prs,Arab,west2369,Western Persian,Indo-European,Iranian,0.72,0.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,0.2730387736699729,0.210736,0.002778867395,1.311090238,0.004401099533,0.1994997201,0.006480280061,9.746808365,0.02362500419,9.154790257,0.0284485492,6.0,0.0,2.883288676,0.02123794786,-0.6910323497,0.0,,
pol_Latn,pol,pol,Latn,poli1260,Polish,Indo-European,Slavic,0.59,0.0,,,,,,,,,2.0,,,,0.44462452728255,0.41142625,0.0035591261015,1.470589479,0.0035602757635,0.4674302978,0.005334552055,11.22041198,0.024075656755,10.303765575,0.022719405495,10.0,0.0,3.9787162085,0.826411,-0.2875060689499999,0.0,0.5495061104256599,0.8375117626189994
por_Latn,por,por,Latn,braz1246,Portuguese (Brazilian),Indo-European,Romance,0.47,0.0251887680822745,,,,,,,,,2.0,3.0,,,0.2700221589110478,0.286788,0.003077638055,1.269971018,0.00444164928,0.4226377998,0.008080790616,9.307546317,0.02991613103,8.717849644,0.02465421328,7.0,0.0,3.346369016,0.2441854357,-0.512995031,0.0,0.467103519419221,0.5343837013373006
ron_Latn,ron,rom,Latn,roma1327,Romanian,Indo-European,Romance,0.53,0.0,,,,,,,,,2.0,,,,0.3114768683274021,0.2758895,0.0036367798639999,1.7756726315,0.0050230030015,0.42018721275,0.0073562020545,9.999405354,0.02502473342,8.8749691385,0.028757345135,8.05,0.15,3.883758134,0.6702779786999999,-0.3030110949,0.0,0.4653150268693714,0.580213481410375
rus_Cyrl,rus,rus,Cyrl,russ1263,Russian,Indo-European,Slavic,0.49,0.0203632438640874,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,0.4371939535873962,0.4625082499999999,0.00463147432,1.4782379529999998,0.004069824834,0.4873502554,0.006231377053,11.579303565,0.02760559511,10.79271158,0.02492292857,11.5,0.0,3.5974929235,0.58373414245,-0.2865155575,0.0,0.514019762702046,0.787732531566447
slk_Latn,slk,svk,Latn,slov1269,Slovak,Indo-European,Slavic,0.57,0.0,,,,,,,,,,,,,0.4364602339808951,0.411039,0.004109322207,1.489446916,0.003475563111,0.4011295319,0.005610317843,11.2812817,0.02421293818,10.38410295,0.02786511911,10.0,0.0,3.981664793,0.7219756686,-0.3040405675,0.0,0.5619823132844476,0.8026812915924111
slv_Latn,slv,slo,Latn,slov1268,Slovenian,Indo-European,Slavic,0.56,0.0,,,,,,,,,2.0,,,,0.4069498475449479,0.397861,0.004112527082,1.489263086,0.004066053056,0.4468196569,0.006160322378,10.91581693,0.02351622518,9.921261355,0.0265127176,8.0,0.0,3.938216931,0.625168676,-0.2840205475,0.0,0.4572784824948805,0.8285233504238815
spa_Latn,spa,spa,Latn,amer1254,Spanish (Latin American),Indo-European,Romance,0.4,0.000208862411378,1.0,1.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,0.2616437797970742,0.2972225,0.003451705614,1.2502803465,0.004702104137,0.4133810398,0.0073448451435,9.5649960345,0.026362508095,8.9274300275,0.0261070634699999,6.0,0.0,3.5235709505,0.3725195807,-0.5145175115,0.0,0.4523871617282403,0.59241725775197
swe_Latn,swe,swe,Latn,swed1254,Swedish,Indo-European,Germanic,0.42,0.0,,,,,,,,,2.0,,,,0.3224294250978776,0.2585032499999999,0.0032860091565,1.3221704255,0.004129456089,0.463262613,0.0064330230239999,9.938116847,0.0239522141399999,9.3483403925,0.02731400946,7.94,1.1008490176,3.6604572365,0.3725949657,-0.45202537865,0.0,0.4248037827590363,0.4855419940061995
tur_Latn,tur,tur,Latn,nucl1301,Turkish,Altaic,Turkic,0.7,0.0191871634578307,1.0,1.0,1.0,4.0,2.0,3.0,5.0,2.0,2.0,1.0,4.0,3.0,0.4575329511200425,0.3973865,0.004091740797,2.277891192,0.004205815956,0.5703778328,0.006529268287,11.72238627,0.0211867727,10.01303703,0.02646104679,13.0,0.0,3.585127389,0.7244514072,-0.2250154346,0.0,0.244240454004563,0.673054073686215
uig_Arab,uig,uyg,Arab,uigh1240,Uyghur,Altaic,Turkic,0.75,0.0022058798652826,,,,,,,,,2.0,1.0,,,0.4447636146020347,0.2161355,0.002125115232,1.888052815,0.003646215992,0.5196785931,0.006364319284,10.61753551,0.01841483038,9.39449711,0.01870926493,12.0,0.0,3.382143065,0.8478510468,-0.3709937482,0.0,0.1282037694821299,0.770323489141614
ukr_Cyrl,ukr,ukr,Cyrl,ukra1253,Ukrainian,Indo-European,Slavic,0.51,0.0,,,,,,,,,2.0,,,,0.4438806464067067,0.4429405,0.004876513586,1.420014293,0.003918646676,0.4403247859,0.005846970769,11.53110833,0.02546923404,10.81092475,0.02691999664,8.89,0.3128897569,3.857030963,0.714238679,-0.3189926453,0.0,0.4850011520867083,0.7906922300933895
urd_Arab,urd,urd,Arab,urdu1245,Urdu,Indo-European,Indic,0.67,0.0114263859533422,,,,,,,,,2.0,,,,0.2269696969696969,0.199242,0.002937649741,1.131727884,0.004446304484,0.1614606887,0.006737467388,9.652893288,0.02603714661,9.117100626,0.02516716346,10.21,0.4073082371,3.329645145,0.2545969317,-0.7370094646,0.0,0.2238122858920023,0.509824045675661
vie_Latn,vie,vie,Latn,viet1252,Vietnamese,Austro-Asiatic,Vietic,0.57,0.0,2.0,5.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0980996226937588,0.1668725,0.001948234778,1.0,0.0,0.3713262688,0.007147892076,9.960514286,0.0220758692,9.960263782,0.02412185997,0.0,0.0,1.250803848,1.227632355,-1.0,0.0,0.5083985224359182,0.6535256716143261
