lang,iso_code,wals_code,script,variety,name,family,genus,d_syn,train_frac_estimate,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,h_dep_avg,h_codep_avg
ilo_Latn,ilo,ilo,Latn,ilok1237,Ilocano,Austronesian,Northern Luzon,0.7,0.0008069180557143,,,,,,,,,,1.0,,,0.2433936022253129,,,,,,,,,,,,,,,,,,
isl_Latn,isl,ice,Latn,icel1247,Icelandic,Indo-European,Germanic,0.47,0.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,0.3507216494845361,,,,,,,,,,,,,,,,,,
kac_Latn,kac,jng,Latn,kach1280,Jingpho,Sino-Tibetan,Brahmaputran,0.75,0.0001955523739544,,,,,,,,,1.0,,,,0.085017087355357,,,,,,,,,,,,,,,,,,
kam_Latn,kam,kba,Latn,kamb1297,Kamba,Niger-Congo,Bantu,0.81,0.0008891090046767,,,,,,,,,6.0,,,,0.3275677255895537,,,,,,,,,,,,,,,,,,
kan_Knda,kan,knd,Knda,nucl1305,Kannada,Dravidian,Dravidian,0.64,0.0183927868584548,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,0.5561136814276272,,,,,,,,,,,,,,,,,,
kat_Geor,kat,geo,Geor,nucl1302,Georgian,Kartvelian,Kartvelian,0.61,0.0026404078945849,1.0,1.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,1.0,3.0,3.0,0.5013835085777532,,,,,,,,,,,,,,,,,,
kaz_Cyrl,kaz,kaz,Cyrl,kaza1248,Kazakh,Altaic,Turkic,0.9,0.0087261751565499,,,,,,,,,,,,,0.4583358994888218,,,,,,,,,,,,,,,,,0.0701853281089131,0.5300342362888815
khk_Cyrl,khk,kha,Cyrl,halh1238,Halh Mongolian,Altaic,Mongolic,0.69,0.0031078213477478,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.3635584137191854,,,,,,,,,,,,,,,,,,
khm_Khmr,khm,khm,Khmr,cent1989,Khmer (Central),Austro-Asiatic,Khmer,0.64,0.0021057249061706,,,,,,,,,1.0,1.0,1.0,1.0,0.9061100161261424,,,,,,,,,,,,,,,,,,
kik_Latn,kik,kik,Latn,kiku1240,Kikuyu,Niger-Congo,Bantu,0.75,0.0009931174451827,,,,,,,,,6.0,1.0,,,0.2748686514886164,,,,,,,,,,,,,,,,,,
kir_Cyrl,kir,kgz,Cyrl,kirg1245,Kyrgyz,Altaic,Turkic,0.77,0.0061157125668648,,,,,,,,,2.0,,,,0.4467693440510523,,,,,,,,,,,,,,,,,,
